 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> July 15, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Gold

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.9311E+01 g/cm3 = 5.9040E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Au     79    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.522E-02  5.783E-03      33 A        78 A        56 A   
   1.10 keV   1.597E-02  5.914E-03      36 A        82 A        59 A   
   1.20 keV   1.668E-02  6.032E-03      38 A        87 A        63 A   
   1.30 keV   1.736E-02  6.138E-03      40 A        91 A        66 A   
   1.40 keV   1.801E-02  6.234E-03      43 A        95 A        69 A   
   1.50 keV   1.864E-02  6.321E-03      45 A        99 A        72 A   
   1.60 keV   1.925E-02  6.401E-03      47 A       103 A        75 A   
   1.70 keV   1.985E-02  6.474E-03      49 A       107 A        78 A   
   1.80 keV   2.042E-02  6.540E-03      52 A       111 A        80 A   
   2.00 keV   2.153E-02  6.659E-03      56 A       119 A        86 A   
   2.25 keV   2.283E-02  6.783E-03      62 A       128 A        93 A   
   2.50 keV   2.407E-02  6.885E-03      67 A       137 A        99 A   
   2.75 keV   2.524E-02  6.971E-03      73 A       145 A       105 A   
   3.00 keV   2.637E-02  7.043E-03      78 A       153 A       111 A   
   3.25 keV   2.744E-02  7.103E-03      83 A       161 A       117 A   
   3.50 keV   2.848E-02  7.154E-03      89 A       169 A       123 A   
   3.75 keV   2.948E-02  7.196E-03      94 A       177 A       129 A   
   4.00 keV   3.044E-02  7.232E-03      99 A       185 A       135 A   
   4.50 keV   3.229E-02  7.286E-03     110 A       199 A       146 A   
