 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Silicon

 Ion = Helium [2] , Mass = 4.001506 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    2.530E-03  6.746E-03       2 A         3 A         2 A   
    1.2 eV    2.530E-03  7.093E-03       2 A         3 A         2 A   
    1.3 eV    2.634E-03  7.427E-03       2 A         3 A         2 A   
    1.4 eV    2.733E-03  7.748E-03       2 A         3 A         2 A   
    1.5 eV    2.829E-03  8.057E-03       2 A         3 A         2 A   
    1.6 eV    2.922E-03  8.357E-03       2 A         3 A         2 A   
    1.7 eV    3.012E-03  8.647E-03       2 A         3 A         2 A   
    1.8 eV    3.099E-03  8.928E-03       2 A         3 A         2 A   
      2 eV    3.267E-03  9.467E-03       2 A         4 A         3 A   
   2.25 eV    3.465E-03  1.010E-02       2 A         4 A         3 A   
2.49999 eV    3.652E-03  1.070E-02       2 A         4 A         3 A   
2.74999 eV    3.831E-03  1.127E-02       3 A         4 A         3 A   
2.99999 eV    4.001E-03  1.181E-02       3 A         4 A         3 A   
3.24999 eV    4.164E-03  1.232E-02       3 A         4 A         3 A   
3.49999 eV    4.321E-03  1.282E-02       3 A         5 A         3 A   
3.74999 eV    4.473E-03  1.329E-02       3 A         5 A         3 A   
3.99999 eV    4.620E-03  1.375E-02       3 A         5 A         4 A   
4.49999 eV    4.900E-03  1.461E-02       3 A         5 A         4 A   
4.99999 eV    5.165E-03  1.542E-02       3 A         6 A         4 A   
